Team,Trade Name,Status,Gross PnL (%),Net PnL (%),Ann. Volatility (%)
EMBA Alfa,2s10s Bear Steepener,Active,0.3760215801590139,-0.9132641341267002,1.0272227570885788
EMBA Alfa,Strategic Scarcity: Long Rare Earth Equity Basket vs. Short CNH Amid Fragile Trade Truce,Leg 1 Hit Take Profit,10.326129487303536,10.088629487303537,23.441575903963777
EMBA Bravo,EM Local currency bond ETF - Long VanEck J.P. Morgan EM Local Currency Bond ETF,Active,1.7740536277599972,1.674053627759997,6.2866596350975374
EMBA Bravo,Long Polish Zlotly,Active,-0.6660896204155331,-2.0375181918441045,3.2629463943544814
EMBA Charlie,Long Gold / Short USD,Active,23.41022024355892,22.253077386416063,15.235428772550177
EMBA Charlie,Short QQQ / Long USMV for  a rotation from high-growth tech to defensive and stable equities over the next six to twelve months,Leg 1 Hit Stop Loss,-3.011900222178976,-3.369043079321833,5.0099227558292645
EMBA Charlie,Short QQQ / Long USMV for rotation from high-growth tech to defensive and stable equities over the next six to twelve months,Leg 1 Hit Stop Loss,-3.011900222178976,-3.369043079321833,5.0099227558292645
EMBA Delta,"Chili Out, Curry Up (Long INDA/Short EWW)",Leg 2 Hit Stop Loss,-1.3561452564314402,-1.5150738278600118,6.559050696266356
EMBA Delta,"Long Live Copper, Cobalt",Leg 1 Hit Take Profit,51.997590845211604,51.8975908452116,27.702765408332674
EMBA Echo,Japan tourism pair trade,Active,-2.5823839283548478,-2.6323839283548476,7.975592411672919
EMBA Echo,Short the yen with commodity-hedged economies,Leg 1 Hit Take Profit,7.996487341572078,7.896487341572079,7.163713007175483
EMBA Foxtrot,USD SOFR 2s10s Bear-Steepener,Active,6.566548881036449,6.4665488810364495,14.714276592093928
EMBA Golf,From Ore to Core: A Flight to Real Assets,Leg 1 Hit Take Profit,1.8638073261179278,1.71618827849888,7.418607920341996
EMBA Golf,"Mine the Yield, Guard the Risk: A Copper-Backed Carry Trade",Leg 2 Hit Stop Loss,-1.0053739685837226,-1.1053739685837227,8.549199151393815
EMBA Hotel,Long 30 Year Treasury vs Short 5 Year Treasury (curve flattener),Active,0.5282106068754899,-1.4217893931245098,1.0875741068119793
EMBA Hotel,Long U.S. 30-Year Treasury / Short U.S. 5-Year Treasury,Active,0.5282106068754899,-1.4217893931245098,1.0875741068119793
EMBA Hotel,Long U.S. 5-Year Treasury / Short U.S. 30-Year Treasury,Active,-0.535765977810021,-1.428623120667164,1.0875741068119793
EMBA Hotel,Show me the Oil - Long Crude Oil vs. Heating Oil,Leg 1 Hit Stop Loss,-6.845516694791831,-6.895516694791831,10.81796658760316
EMBA Hotel,Show me the Oil...Long Crude Oil vs. Heating Oil,Leg 1 Hit Stop Loss,-8.948120738025,-10.093358833263096,12.649865181694508
EMBA Hotel,Show me the oil..Long Heating Oil vs. Crude Oil,Leg 1 Hit Stop Loss,-8.948120738025,-10.093358833263096,12.649865181694508
EMBA India,JPYKZT currency carry trade,Leg 1 Hit Take Profit,15.005747851909735,13.036700232862117,9.043384525391044
EMBA India,Kazakh currency carry trade,Active,21.52209041890627,18.779233276049126,9.856318162466032
EMBA India,Long Argentina 2030 USD Notes,Active,13.24719429041432,13.14719429041432,28.988935690702977
EMBA Juliett,Long XPDUSD Curncy,Leg 1 Hit Take Profit,10.619531284351202,10.519531284351203,24.98160303847337
EMBA Juliett,Short XAUUSD Curncy,Leg 1 Hit Stop Loss,-5.590191066891825,-5.868762495463254,10.143901134269322
EMBA Kilo,Long BXSL with protective put,Leg 1 Hit Stop Loss,-6.943912339959557,-7.043912339959556,11.877445727483359
EMBA Kilo,"Trade Memo — GLD 380/390 Bull Call Spread (Exp. September 30, 2026)",Active,256.0294117647056,255.92941176470563,122.34649217291154
EMBA Lima,Short SMH / Long JPY via TRS,Leg 1 Hit Stop Loss,-2.298421426625241,-2.469849998053813,6.453739033086067
EMBA Lima,Short XT / Long XLE via TRS with XT Put Overlay,Leg 2 Hit Stop Loss,-2.099172659492199,-2.2319107547302943,14.748491874297045
EMBA Lima,Short XT ETF / Long XLE ETF via Total Return Swaps with XT Put Overlay,Leg 2 Hit Stop Loss,-2.440588421662049,-2.5643979454715726,16.05374722568234
EMBA November,AI commodities,Leg 2 Hit Take Profit,2.504909095519947,2.404909095519947,6.017448377749107
EMBA November,ECB–Fed Divergence: Long Euribor June 2026 / Short SOFR June 2026 (Anti-Euro Bias),Leg 1 Hit Stop Loss,0.03513486281168099,-1.172007994331176,0.22031982980694514
EMBA Oscar,Eurozone Stagflation Divergence Trade,Active,2.3883684972074493,-0.35448864564969357,3.360329027794008
EMBA Oscar,Exploiting the American Reindustrialization,Leg 2 Hit Stop Loss,-1.212021588932366,-1.272021588932366,1.937860721101119
MBA Alfa,Long International Equities vs. U.S. Equities: Positioning for Valuation Mean Reversion,Active,5.678734213154146,4.653734213154147,6.021890232150628
MBA Alfa,Long Mercado Libre,Leg 1 Hit Stop Loss,-17.16843718534037,-17.26843718534037,37.33549444577242
MBA Alfa,Mexico Industrial Real Assets (FIBRAs) — Capturing Nearshoring + Grid Upside,Active,20.78213964638902,20.682139646389018,21.293628759341658
MBA Bravo,Long Gold: Positioning for Fed Easing & Dollar Weakness,Leg 1 Hit Take Profit,36.576611669124404,36.4766116691244,19.152083644775388
MBA Bravo,Short South Korean Won,Leg 1 Hit Stop Loss,-5.3743194160372205,-6.343367035084839,5.935248764840444
MBA Charlie,Faster Fed Cuts,Leg 2 Hit Take Profit,15.44969548465236,15.212790722747597,12.167269146326799
MBA Charlie,Short Modine Manufacturing,Leg 1 Hit Stop Loss,-11.04294497172964,-11.261992590777258,49.5089899386076
MBA Charlie,US economic policies and engagement with Brazil will create value in Brazil mineral companies and against Chinese metal refining,Active,22.3852097768382,20.963781205409624,10.353123237395273
MBA Delta,Long Mexican Peso (MXN) vs. Short Japanese Yen (JPY),Leg 1 Hit Take Profit,13.681412123463055,13.581412123463055,59.59290965413447
MBA Delta,Short CAD vs USD,Leg 2 Hit Stop Loss,-7.047872340425531,-7.159777102330293,79.11217081077882
MBA Echo,"Long Chinese Tech, Short U.S. Long-Term Treasuries",Leg 1 Hit Stop Loss,-4.7412747125136985,-5.71270328394227,10.261970119407035
MBA Echo,Long Copper,Leg 1 Hit Take Profit,16.52266666666662,16.42266666666662,19.790199230179173
MBA Echo,U.S. Yield Curve Steepener,Active,0.2091589092609425,-0.7629839478819146,0.602228409742207
MBA Echo,USD/TWD: Policy Resistance Beats the Appreciation Story,Leg 1 Hit Take Profit,1.6388579903596545,1.5388579903596544,6.48553165070471
MBA Foxtrot,Electrification Tailwind: Long Copper Miners and Short U.S. Homebuilders,Leg 1 Hit Take Profit,12.9442112108187,12.701354067961558,13.943743398920875
MBA Foxtrot,Long COMEX Gold through a rolling futures position,Active,33.33518822514667,33.23518822514667,26.28980036059856
MBA Foxtrot,Long India Short China Pair Trade,Leg 1 Hit Stop Loss,-0.8998018981849598,-2.1962304696135315,8.802519095455942
MBA Golf,Long HYG + Long TYZ5: Carry and Duration in a Soft-Landing Easing Cycle,Active,-0.6180266979018079,-0.6780266979018079,2.1957719789956394
MBA Golf,Stagflation hedge,Active,-0.08087850067278746,-1.0408785006727872,2.850456613677215
MBA Hotel,A Break from the Past,Active,-0.734318322569194,-0.834318322569194,2.959912438317561
MBA Hotel,A New Low,Active,-0.6844959790535343,-0.7844959790535343,1.0134964904616404
MBA Hotel,Long EM Latam equity futures vs short gold futures,Leg 2 Hit Stop Loss,-1.6512011587589082,-1.769058301616051,8.62443872399861
MBA Hotel,Yen It to Win It,Leg 1 Hit Stop Loss,-8.545727136431802,-8.645727136431802,15.246051367361046
MBA India,Brazil Bonds vs Iron Ore Divergence,Active,-0.05803153969630159,-1.479460111124873,5.067219153699785
MBA India,Colombia vs. Peru Sovereign CDS Spread Convergence,Leg 2 Hit Stop Loss,-5.227448014709212,-5.277448014709212,16.597498702267732
MBA India,Long EUR/CHF in spot FX,Active,-1.3120699770654332,-1.4120699770654332,2.9860453810479797
MBA Juliett,: Brazil – Earn the Carry and Hedge the Chaos,Active,-4.000794438917888,-4.823651581775031,2.800441600660045
MBA Juliett,Long Soybeans / Short Corn (14 Month Horizon),Leg 1 Hit Take Profit,5.6277135771381825,5.577713577138183,20.71367222093773
MBA Juliett,Long US 2Y / Short JGB 2Y Rate Differential,Active,0.00755794855873404,-0.04244205144126596,0.3742953624992429
MBA Juliett,The Brazilian Equities Value Trade,Active,39.31062906997806,39.21062906997806,14.604689344475208
MBA Kilo,Long Emerging Markets,Active,47.82608695652173,47.726086956521726,50.95521428641534
MBA Kilo,Long Gold,Leg 1 Hit Take Profit,50.12937870398708,50.02937870398708,19.648478767490097
MBA Kilo,Ride the Energy Transition Metal demand breakout with BESS focus,Leg 1 Hit Take Profit,29.198837414526047,28.654908843097473,26.16461822883297
MBA Lima,Carry trade - Long EM short JPY,Leg 1 Hit Take Profit,10.270551466554135,10.170551466554135,5.823529553088264
MBA Lima,Long EM short JPY,Leg 2 Hit Take Profit,0.0,-0.10595238095238096,0.0
MBA Lima,Long Reit Short Private Credit,Leg 2 Hit Take Profit,5.86874188527855,5.608027599564265,8.418565509144702
MBA Lima,"New Look, Same Old Taste – Safety Asset BTC in the Uncertainty Regime",Leg 1 Hit Stop Loss,-19.206938019704513,-20.12658087684737,16.929806127871505
MBA Mike,Clean Carry Trade,Leg 2 Hit Take Profit,4.18734882550853,3.623063111222816,4.146351860838838
MBA Mike,Short Gold,Leg 1 Hit Stop Loss,-5.453618677194106,-5.732190105765534,11.580989980493014
MBA Mike,The clean carry trade: Long MXN/JPY on structural flows vs. funding currency,Leg 2 Hit Take Profit,4.18734882550853,3.623063111222816,4.146351860838838
MBA Mike,"Twin-Tail trade: Long Brent Crude, Long USD/CNH ",Leg 1 Hit Stop Loss,-3.889186599389982,-3.989186599389982,11.327333648592223
MBA November,Long Gold and Short S&P 500,Leg 1 Hit Take Profit,4.655599077179007,4.412741934321864,8.03566969476472
MBA November,Long Gold futures and Short S&P 500,Leg 1 Hit Take Profit,4.655599077179007,4.412741934321864,8.03566969476472
MBA November,Long USDJPY on Policy Divergence,Leg 1 Hit Stop Loss,-3.6403947933057235,-3.7403947933057236,7.98212991677025
MBA Oscar,"India Over China: Capital reallocation from China toward faster-growing, more investment-attractive India",Leg 1 Hit Stop Loss,-0.5060460886063822,-0.6060460886063822,3.814431366081425
MBA Oscar,Long Copper (HG1) / Short Iron Ore (TIO1),Leg 2 Hit Take Profit,2.0891864263417714,1.9784721406274857,23.45105947340852
MBA Oscar,Long Copper (Single-Leg Trade),Leg 1 Hit Take Profit,1.1056247316444834,1.0056247316444833,12.410606832472617
MBA Oscar,Long Regional Banks (KRE) / Short Large-Cap Banks (JPM) – Play on Yield Curve Steepening,Leg 2 Hit Take Profit,-0.6563883376583868,-0.7563883376583868,7.367940816575312
MBA Oscar,Long Regional Banks (KRE) / Short Large-Cap Banks (KBWB) – Play on Yield Curve Steepening,Leg 2 Hit Take Profit,0.18680518742160146,0.07490042551683954,2.096883028211239
MBA Papa,Long Copper,Active,67.38606705480794,67.28606705480794,37.372190536328674
MBA Papa,"Long Gold: Fed Independence Problem, Lower Institutional Credibility, and Central Banks Buying",Active,33.33518822514667,33.23518822514667,26.28980036059856
MBA Papa,Short USD(DXY),Active,13.281678879610336,10.538821736753194,9.314832767723507
MBA Quebec,Brent WTI Convergence Trade,Leg 2 Hit Take Profit,-0.05125899823271718,-0.413163760137479,0.609935857963109
MBA Quebec,Structural Yen Outflows and Policy Inertia Could Push USD/JPY Toward 162,Leg 1 Hit Stop Loss,-3.6403947933057235,-3.7403947933057236,7.98212991677025
MBA Quebec,U.S. AI Premium vs Europe Divergence Trade,Leg 2 Hit Stop Loss,1.8084967239753613,1.369211009689647,4.870012433033658
MBA Romeo,Angola / Brent Crude - Relative Value,Leg 1 Hit Stop Loss,0.0,-0.11190476190476191,0.0
MBA Romeo,Long CU / Short USD,Leg 1 Hit Take Profit,10.115300607478495,9.336729178907067,11.729845539000161
MBA Romeo,Short US Equities / Long Chinese Equities,Active,-1.626792764981777,-3.0482213364103488,8.117736014430529
MBA Sierra,AI Resilience: Long Tech vs Short Staples,Leg 2 Hit Stop Loss,-0.4301962991402064,-0.5421010610449684,4.828941481322359
MBA Sierra,"Long AUD/USD, Short JPY/USD",Leg 2 Hit Take Profit,0.25024429785829305,0.13833953595353113,2.8089852767386843
MBA Sierra,Long Utilities / Short Real Estate,Leg 1 Hit Take Profit,6.390063443237914,6.0757777289522,6.0590093624298555
MBA Tango,Long Uranium / Short Natural Gas — The Energy Scarcity Arbitrage,Leg 2 Hit Stop Loss,-2.2867133470150125,-2.378141918443584,10.53156419923317
MBA Tango,Reflation Rotation: Long Copper / Short Gold,Leg 2 Hit Stop Loss,-2.883196803777166,-3.114149184729547,5.949642350509192
MBA Tango,WTI Alpha Trade: Long WTI Futures on EM Demand & Geopolitical Risk Premium,Leg 1 Hit Take Profit,21.261493789320895,21.161493789320893,18.54642005984821
MBA Uniform,European Arms Race - Long Position in $DFSV GY,Active,7.332731467549292,7.232731467549292,24.39454485587514
MBA Uniform,Ex US and China Trade,Active,23.485242303409603,22.724528017695317,12.274227212416
MBA Uniform,Frontier Focus: ex-China,Active,23.485242303409603,22.724528017695317,12.274227212416
MBA Uniform,The Golden Exodus - Long Position in GLD,Leg 1 Hit Take Profit,10.166662029437145,10.066662029437145,12.13865312172311
MBA Whiskey,Long Child USD Sovereign Bonds (2031)/USDTRY hedge,Leg 2 Hit Take Profit,6.34116552929298,6.241165529292981,6.279585209819451
MBA Whiskey,USD SOFR 2s10s Steepener,Active,4.652332161821837,4.023760733250409,9.806675568731597
MBA Whiskey,“Reeves austerity” bull-flattener relative value (long Gilt / short Bund DV01-matched spread tightener),Active,-0.8178551809502443,-0.8678551809502444,3.9138177323956644
MBA Xray,Bank of Canada Yield Steepener,Leg 2 Hit Take Profit,0.19904225294262723,0.0895184434188177,2.2342437480086255
MBA Xray,Shorting the Argentinian Peso,Active,-1.6684523265594886,-4.411309469416631,15.26720266507697
MBA Yankee,Long JPY & Long EUR,Leg 1 Hit Stop Loss,-8.704311714700165,-8.804311714700164,6.239611502775963
MBA Yankee,"Recession Hedge: Long Gold, Short Equities",Leg 1 Hit Take Profit,7.5026262414978895,7.221673860545509,7.929361844551764
MBA Zulu,Going Long on Fed Funds and SOFR Futures,Active,2.161835981456517,2.111835981456517,2.483194099847396
MBA Zulu,Long Gold / Short USD – Diversified Hedge Against Fiscal and Policy Shifts,Leg 1 Hit Take Profit,6.217768330636408,5.903482616350694,6.947887444214218
MBA Zulu,Long Live the USD,Leg 1 Hit Stop Loss,-4.164886815263702,-4.264886815263702,7.49461334920132
MBA-Beta,Long SPY — Soft-Landing + AI Cash-Flow Momentum (fade liquidity squeeze),Active,5.332919928687807,5.232919928687807,10.735014326661936
MBA-Epsilon,Copper–Gold Ratio Reversion Trade,Leg 2 Hit Stop Loss,1.2183610305783077,1.0826467448640218,7.863189728268694
MBA-Epsilon,Long Russell 200,Active,11.162138027809721,11.062138027809722,16.376001874451156
MBA-Epsilon,Long Russell 2000 + Short S&P 500 future,Active,8.06503290338516,7.700747189099447,13.929362470225506
MBA-Gamma,Copper Power,Leg 1 Hit Take Profit,28.749247139128542,28.64924713912854,20.251246030500845
MBA-Gamma,Long Volatility,Active,0.6798316607317556,0.5798316607317556,22.178546543523783
MBA-Gamma,Stonks,Active,22.208436724565782,22.10843672456578,106.77553325132487
MBA-Kappa,"Long EM equities, partial US hedge",Leg 1 Hit Take Profit,13.662015194966548,13.562015194966548,10.945367287185178
MBA-Kappa,Long EUR/USD,Leg 1 Hit Stop Loss,-1.6698914780853058,-1.769891478085306,5.342819771787061
MBA-Kappa,The Gilded Hedge: This Time Might Be Different For Gold,Active,31.70988356454267,31.62488356454267,22.22107989530178
MBA-Theta,Long JPN ETF & Long Protective Puts,Leg 2 Hit Stop Loss,1.672747494848803,1.572747494848803,9.572095140374499
MBA-Theta,Long US HY CDS,Leg 1 Hit Stop Loss,-0.05969313995244363,-0.15969313995244364,0.2751945141424103
MBA-Theta,Long US REITs / Short Copper,Leg 1 Hit Stop Loss,-1.3269731136166585,-1.4069731136166586,14.895236257842537
